L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.000195,0.0,0.0,0.0,0.0,200000,3365.2130872959547,2138.802586671457,2178.4221149751597,1272.4070872417387,1058.690375961678,4382.199350704883,4825.444247062187,4464.189311638056,4578.580595334225,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.00011499999999999999,0.0,0.0,0.0,0.0,200000,5786.59843172938,1816.0213463316245,1781.8810683509073,1397.4485207778446,1289.2207675066966,6067.814179631413,6646.6875967242895,6262.226226714022,6553.848736980307,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0038,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,258.163246035292,204.71515279784563,248.22023365269308,196.60643873411055,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0011,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,482.09005574218344,483.0493988368349,460.7006420191401,458.100089001795,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00015000000000000001,0.0,0.0,0.0,0.0,200000,3798.2910033933845,2334.4060584104336,2369.149860678125,843.8740884229718,779.3912651196887,3848.1737228192296,4044.3917627199985,3830.3240724688944,3974.340353804522,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00032,0.0,0.0,0.0,0.0,200000,1641.5957349517791,3338.615275659185,4139.802219728145,740.8738506391568,489.7019375349057,2389.4176766070304,2507.2561224892142,2378.383753704675,2408.1829170500882,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.0023,0.0,0.0,0.0,0.0,200000,0,43604.857142857145,0,53.95652173913044,0,405.60408021360195,362.81613709112236,383.36016789382325,343.1528224160346,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.0007,0.0,0.0,0.0,0.0,200000,1222.6244725738397,30257.586983729663,44208.48101265823,53.642857142857146,23.016949152542374,836.9216523863226,838.6883866923885,790.0818549519739,790.6078772165124,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.000165,0.0,200000,4434.437767524599,1971.7078628557986,1963.0544777363946,1390.0302455760202,1217.4348826637877,5161.2833759534105,5692.706634762287,5269.473982604959,5616.284407110619,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0043,0.0,200000,0,0,0,0,0,259.440476018037,206.81045326727445,357.06391978888655,482.4896809881477,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.004,0.0,200000,0,0,0,0,0,267.2374363488943,219.94012457794457,379.3378402878671,509.1460659628428,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0004900000000000001,0.0,200000,968.9617440225035,4259.012678288431,7129.286427566807,771.9850739263084,374.61934523809526,1867.6898070668265,1956.9511039626736,1881.5003371000162,2070.45510359919,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0011,0.0,200000,614.5714285714286,31700.038666666667,52816.57142857143,65.62026726057907,0,679.2732482062016,677.2731783268722,920.4479577332144,1087.013581215306,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0021000000000000003,0.0,200000,0,41071.00497512438,0,51.083333333333336,0,454.4879215950408,424.25731894424905,589.2535087431208,739.5690628135414,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,8.5e-5,0.0,0.0,0.0,0.0,200000,7357.581408110629,1722.1229471061276,1679.5606102178565,1529.255154042159,1471.2345931699658,7229.402408482269,7918.7442947193595,7346.0767538424225,7821.705779936458,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.000175,0.0,0.0,0.0,0.0,200000,3857.707303449239,2059.813315735445,2081.058064516129,1283.825904247336,1104.301527480371,4669.723432337627,5126.443901607136,4781.499225242747,4909.275995424628,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0017,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,381.17880967260743,368.0566368564458,357.43034408066137,349.14808085580603,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0026000000000000003,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,305.95354525737065,274.92789529469974,289.7907059140494,260.28744814045575,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00034,0.0,0.0,0.0,0.0,200000,1510.6507873319179,3429.1861713947114,4461.566367375824,731.1698192357562,455.079985340602,2308.7766328111416,2421.0849152699875,2275.838287918794,2293.937882343765,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00029,0.0,0.0,0.0,0.0,200000,1871.0587368182335,3155.6759422697537,3696.7771856219524,746.2878739373243,528.4664096272929,2550.739773375516,2684.45750361824,2540.5247253352463,2584.5364534023283,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.0006,0.0,0.0,0.0,0.0,200000,1318.9209580838324,26895.34335955576,38498.575358851675,52.88722826086956,35.6631299734748,909.5579925322412,916.7437085995211,858.9062699470153,857.6957447831534,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.00145,0.0,0.0,0.0,0.0,200000,0,42323.42,0,60.47445255474452,0,535.9358551953994,515.3331303628413,519.2813294674024,499.832824162851,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,7.500000000000001e-5,0.0,200000,8525.35428261552,1676.1513613425655,1634.1558638011245,1692.9609356233486,1648.5790057506495,8043.119103628899,8827.007359792595,8144.2379189945705,8886.239782064078,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.0002,0.0,200000,3662.714593210972,2113.1742191071157,2159.1539311789174,1362.2006555330108,1159.9512783118546,4596.601839037859,5079.782083905866,4732.857040431135,5040.163231102002,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0046,0.0,200000,0,0,0,0,0,253.13160591373216,195.53967516184608,339.97546337354163,462.58947833022825,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00019,0.0,200000,3242.112312138728,2460.9176470588236,2532.76112716763,861.6902165795369,757.108988764045,3529.690626140265,3730.988039543371,3455.709321333612,3711.7099394130096,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00034,0.0,200000,1667.4151500245941,3285.201189440093,4028.0656665027054,789.2007389162561,537.9363143631437,2425.928166373972,2562.1369830705125,2403.1522096299323,2601.113080159714,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0001,0.0,200000,5514.007176194459,2071.6019539009985,2051.6482410704652,1045.3932215642117,1043.2271825396826,5074.766812306293,5337.002868062291,5025.546950372061,5432.322547219337,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00047000000000000004,0.0,200000,1049.0249200861113,4142.605460599334,6589.200208754648,773.3404460795585,394.74424359062476,1919.2547366558117,2009.0755525991462,1932.9921502554837,2115.9097970175358,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.00015,0.0,200000,3525.079619108586,6596.6721186763025,4085.6101071485687,182.39189008936907,368.3253549026081,2200.3426604511997,2183.0837343300796,3395.5920488062043,3687.739867496556,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0013000000000000002,0.0,200000,0,33921.249100719426,0,71.5684575389948,0,612.9912184330335,603.0510607886638,824.7008264447434,989.592902112474,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.00022999999999999998,0.0,0.0,0.0,0.0,200000,2751.1899819907817,2346.1033663742596,2466.908247359746,1255.6765918758322,1002.9842411356387,3888.0960957834086,4279.605987442199,4031.0964517349194,4089.507105497494,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.000155,0.0,0.0,0.0,0.0,200000,4344.233501568681,1981.2617484450586,1968.5185094252122,1313.0352008954872,1154.547955514675,5047.728795707165,5551.749853890432,5293.381305999168,5476.753575923813,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0039,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,255.12396145172883,200.54424436283608,240.9380332079721,186.75393156586523,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0024,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,318.9513864064531,291.4073578334805,302.69994519011465,276.94352348338646,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00041,0.0,0.0,0.0,0.0,200000,1177.1022505759347,3931.9045946736906,6034.797152814696,723.8807208608843,369.14768716329183,2020.7021923801424,2108.0652186722505,1988.153133480877,1991.1502941095455,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00024,0.0,0.0,0.0,0.0,200000,2355.6434293561783,2822.2802002788694,3085.8271972273083,766.3824083701586,602.3322372835861,2902.0555559601667,3056.8679294931835,2820.6903065719885,2885.447303607944,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.00025,0.0,0.0,0.0,0.0,200000,2515.3590597045973,14319.657275541796,7176.615901843893,74.52463921154524,194.509233475011,1498.0299595813317,1507.484773910371,1429.1751898625262,1438.8929790911382,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.0021000000000000003,0.0,0.0,0.0,0.0,200000,0,41495.65142857143,0,47.583333333333336,0,426.37096209873704,388.85818454324004,409.24365036170894,370.2047636991644,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,6.500000000000001e-5,0.0,200000,9331.378398258208,1660.4740834007855,1622.0214781687655,1784.1381035700033,1759.5105697422307,8600.660859859396,9449.413367476041,8778.397971894923,9634.94800087791,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.0001,0.0,200000,6898.517792282273,1724.6599464661997,1680.6364902506964,1541.871454365426,1456.0914392544228,6921.482051057778,7619.146761324024,7110.792549840345,7667.098941668789,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.00016,0.0,200000,4579.413111427944,1925.4699182750826,1912.0458708050012,1389.3070034987843,1225.9251092681834,5298.62986381675,5851.830319249199,5434.632856962404,5807.438000385162,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0003,0.0,200000,2356.2902891371964,32431.575562700964,11119.588987443844,43.40829694323144,141.70054423490697,1085.307817140946,1084.057441378734,2686.025988934794,2911.963889569151,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0033,0.0,200000,0,0,0,0,0,291.16603568924586,254.87799892154442,426.00066530828246,557.474848229744,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,7.0e-5,0.0,200000,6965.791995458416,2010.2734641037907,1984.0164846077457,1220.2053635657353,1274.165414188307,6087.193749999255,6374.024329830541,6002.903594157002,6533.141074727023,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00022000000000000003,0.0,200000,2740.0837062064347,2627.553340435246,2757.402264564437,833.9395791114575,696.0125646941448,3202.6276495441853,3393.1398317152234,3110.563252694932,3356.1078418733896,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00031,0.0,200000,1856.5016172609307,3135.8191191890946,3679.445509893455,804.104886812792,579.2897254901961,2575.674487435636,2720.9885328830446,2488.0677595237953,2703.58014774193,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.00195,0.0,200000,0,38466.293413173655,0,71.52173913043478,0,476.405050245024,449.90932184649165,621.8367664032132,773.9374630842138,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0015,0.0,200000,0,36583.894857142855,0,70.92530120481928,0,556.6193387373585,542.9630322240156,749.2865626332375,909.7657260519813,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,2.0e-5,0.0,0.0,0.0,0.0,200000,15186.75108546013,2203.5692658647863,2148.7280904786953,3707.2085044305163,3850.0797037849698,13719.670546039955,15197.193425819281,13841.319963632355,15793.399444745071,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.00013000000000000002,0.0,0.0,0.0,0.0,200000,5187.565418425226,1874.7021608439202,1843.7252688172043,1370.6360341027723,1237.482894014278,5651.56368586932,6199.72178389451,5801.806643881184,6060.952495710523,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0004,0.0,0.0,0.0,0.0,200000,2136.813624678663,54314.5,27370.309503424658,0,60.478553921568626,802.013926049422,805.7599114819574,765.424789967217,769.5856078970257,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0009000000000000001,0.0,0.0,0.0,0.0,200000,712.0,0,37573.0,0,0,536.3724461459395,539.401379169586,512.7540500718766,515.7917378844501,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.004900000000000001,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,235.1151878596601,164.93950703350615,229.4420571006239,160.29171351976098,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00035,0.0,0.0,0.0,0.0,200000,1466.4245838549637,3534.889632615806,4672.269393054203,732.8616053931175,444.28782412084473,2243.654132898384,2351.395565570209,2231.1547886100966,2250.4936073349954,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.00125,0.0,0.0,0.0,0.0,200000,0,41239.84541984733,0,63.48969072164948,0,584.113304155153,569.0249778267885,548.8497775467987,535.9613508024039,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.0013000000000000002,0.0,0.0,0.0,0.0,200000,0,39964.347107438014,0,54.46857142857143,0,572.5189428185062,557.1061974606779,536.1168404550366,519.758088598265,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.00019,0.0,200000,3821.584726628369,2081.198381789089,2100.448483809197,1360.9927650496243,1161.9132099739834,4703.171120615792,5200.350932389259,4809.114475891758,5111.583333079549,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.00014,0.0,200000,5210.633879781421,1850.3373053293328,1830.921920452383,1423.1505187783137,1287.6531400161098,5724.174283217588,6305.8692288022285,5852.714449437909,6251.268576964151,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0038,0.0,200000,0,0,0,0,0,273.85300468642487,229.24150893148516,404.11573609775496,538.3203347798973,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.003,0.0,200000,0,0,0,0,0,305.07028195380354,274.2874393360172,473.4136490686447,614.4722128766679,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00032,0.0,200000,1796.952984496124,3181.505522035214,3786.42083640169,791.8927107144153,556.054274409496,2527.5509352859985,2673.962910182747,2487.3495231364213,2690.577654895949,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0023,0.0,200000,0,40609.86024844721,0,91.16129032258064,0,431.26743960613567,395.6372108547527,573.5611565159165,720.5286999758769,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0012,0.0,200000,364.0,33712.156398104264,82787.0,75.001414427157,0,638.8854112091763,632.4610112411644,863.5111888025787,1029.7383457321553,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.00019,0.0,0.0,0.0,0.0,200000,3466.271855467078,2153.1846010294075,2182.5798441647403,1278.0835311161113,1070.253291298129,4412.232977765692,4842.446140596483,4603.43730237251,4719.462599934333,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.00014,0.0,0.0,0.0,0.0,200000,4851.728176049683,1898.2259707913506,1890.4803974511287,1342.9668036582543,1203.3778684907327,5421.261872746613,5950.514551445824,5536.953533665218,5749.662730629904,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0046,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,239.65743272394178,174.0601821070893,230.5118598199038,165.46342607272214,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00019,0.0,0.0,0.0,0.0,200000,3054.3638281044027,2543.4240714621533,2639.1925183818144,803.8530915433658,692.2657912881854,3368.1505342351793,3540.821466573448,3320.4973066995226,3408.7712194753685,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,4.0e-5,0.0,0.0,0.0,0.0,200000,9013.984036134192,2162.8372613165975,2137.069483084321,1667.5371538250618,1805.143109228869,7744.257236387208,8011.7344814266335,7672.296717514553,8255.228428203804,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,9.0e-5,0.0,0.0,0.0,0.0,200000,5721.523297102432,2099.174033826293,2066.82307671463,1022.8629824414949,1040.4865044431526,5205.197528848971,5444.74173586158,5087.53039326495,5351.437972651366,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.00095,0.0,0.0,0.0,0.0,200000,608.25,36108.857296137336,21303.25,42.97374179431072,0,691.2917092243239,685.7452227244875,662.2948657943126,660.1252915815734,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.00045000000000000004,0.0,0.0,0.0,0.0,200000,1601.9457232856796,22409.298283261804,19216.476859704384,61.3774412116381,72.05975029726515,1078.1162179635005,1089.8516504963902,1022.0177057090832,1026.4676599210927,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.0012,0.0,0.0,0.0,0.0,200000,0,39081.94066317627,0,35.82648401826484,0,602.3242543310433,590.0122911559727,582.8366463960506,570.718953445636,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,4.5e-5,0.0,200000,11415.892860669497,1688.467583236707,1642.289245047061,2116.394592756334,2138.4098831317974,10200.231241521253,11195.592939861852,10242.268873554893,11453.205415816987,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.00012,0.0,200000,5934.480275229358,1776.9307160005649,1749.9949541284404,1459.8222093862817,1345.7779768467476,6242.451664061777,6872.151926264529,6322.686920610037,6807.3478487497,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0005,0.0,200000,1687.6666666666667,35122.97368421053,26779.679747406404,32.714285714285715,57.94094488188976,817.4839343435011,830.4913618241349,1772.9271680277004,1963.054572489607,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.005,0.0,200000,0,0,0,0,0,245.09437328654437,182.57536605907097,322.66288523207925,444.4238870003546,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,9.0e-5,0.0,200000,5930.3645776566755,2050.561584299147,2021.8723879580439,1085.2216512121552,1103.4783855254002,5346.616974432669,5619.311901325422,5317.417609617674,5781.145570784444,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.00011000000000000002,0.0,200000,5151.9321418973395,2102.1343194625056,2087.292728152209,1003.0682497509133,994.4525142731665,4818.387000051947,5070.419189973651,4744.599331855284,5142.058252543415,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.0005,0.0,0.0020499999999999997,0.0,200000,0,41896.28329809725,0,56.590643274853804,0,460.5108111036775,430.58910196255573,607.8594293987203,758.4409106605266,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,7.500000000000001e-5,0.0,0.0,0.0,0.0,200000,8008.673604488078,1725.2064729232463,1673.2464235624122,1607.0920760086562,1554.260395755664,7721.849406354894,8455.67960128971,7834.08441869188,8378.647332846707,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,5.0e-5,0.0002,0.0,0.0,0.0,0.0,200000,3247.4604614760274,2217.2726689282113,2260.7989158791815,1267.6093422247268,1048.138205112996,4231.20654748797,4653.636467713501,4401.1344335530475,4501.0186503310915,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.0022,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,333.83838183842903,310.48112182493355,318.71590097124516,297.1769618075484,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.001,0.004,0.0,0.0,0.0,0.0,200000,0,0,0,0,0,251.5941185669536,195.73209960760528,239.72707117781567,184.8745188963029,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0001,0.00033,0.0,0.0,0.0,0.0,200000,1579.3586644378724,3399.170457468308,4293.805117435282,732.1740495555135,467.55081589216036,2343.6170029206623,2460.948336614698,2325.4418172839155,2358.9111224845024,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.0006500000000000001,0.0,0.0,0.0,0.0,200000,1281.236897274633,29917.26072234763,40187.71698113208,57.27589285714286,16.732142857142858,861.7156802101117,867.8104069101366,839.8616706044999,839.6571525184982,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0005,0.0024,0.0,0.0,0.0,0.0,200000,0,46853.541401273884,0,49.705882352941174,0,394.7738967207835,350.011694518586,381.40776290383593,340.28837689850496,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,0.00018500000000000002,0.0,200000,3902.8679159697217,2052.2491796432196,2075.8879312788818,1355.055402846497,1164.6231409271447,4775.7549238086485,5274.618943710219,4837.782073797904,5153.248931516204,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0025,0.0,200000,0,0,0,0,0,335.98521943378574,313.9407363414047,537.3815154001237,680.8251998182064,hard,5.0
40,2,0.005,1.0,1000000,1.0e6,0.0,0.0,0.001,0.0,0.0023,0.0,200000,0,87582.0,0,0,0,353.81088077405366,335.2378481482291,603.8127969580462,757.2783261310154,hard,5.0
