L,J,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,0.0,0.0,1.778279410038922e-05,63812.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.995262314968879e-05,0.0,0.0,1.995262314968879e-05,256991.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.162277660168379e-05,0.0,0.0,3.162277660168379e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.309573444801932e-05,0.0,0.0,6.309573444801932e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.912509381337455e-05,0.0,0.0,8.912509381337455e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,3.54813389233575e-06,0.0,4726.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.98107170553497e-06,0.0,3.98107170553497e-06,0.0,4276.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-06,0.0,5.62341325190349e-06,0.0,5154.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.30957344480193e-06,0.0,6.30957344480193e-06,0.0,8594.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.94328234724281e-06,0.0,7.94328234724281e-06,0.0,6572.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,1.412537544622754e-05,0.0,144849.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,0.0,1.778279410038922e-05,0.0,973923.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.238721138568339e-05,0.0,2.238721138568339e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.818382931264453e-05,0.0,2.818382931264453e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.162277660168379e-05,0.0,3.162277660168379e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.079457843841379e-05,0.0,7.079457843841379e-05,0.0,10000000.0
