L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,constraint,soft_threshold
30,2,0.002,1.8,1000000,1.0e6,0.001,0.001,0.0,0.0,0.0,0.0,300000,0,0,0,0,0,400.23876116723886,673.8114278897806,377.9644773561682,632.9882641381906,hard,5.0
30,2,0.002,0.7,1000000,1.0e6,5.0e-5,5.0e-5,0.0,0.0,0.0,0.0,300000,11607.076396115157,4875.975526420341,6019.5387808041505,3543.0645267489713,3080.4148247978437,11626.844300087228,8227.009331913247,11001.327302201697,7786.607305000453,hard,5.0
30,2,0.002,1.3,1000000,1.0e6,0.0005,0.0005,0.0,0.0,0.0,0.0,300000,0,218594.0,0,0,0,888.3901908006246,1140.7137505254418,828.9030204266797,1075.1332805169748,hard,5.0
30,2,0.002,0.5,1000000,1.0e6,0.001,0.001,0.0,0.0,0.0,0.0,300000,0,0,0,0,0,658.2180813957093,417.1692288573123,616.0901951612209,392.4769059180445,hard,5.0
30,2,0.002,1.2,1000000,1.0e6,0.0,0.0,0.001,0.0,0.001,0.0,300000,0,0,0,0,0,545.9901180540807,662.5841839159862,1253.8952260126105,1833.4912065417059,hard,5.0
30,2,0.002,3.0,1000000,1.0e6,0.0,0.0,5.0e-5,0.0,5.0e-5,0.0,300000,8172.44124925015,5575.188790770546,2081.2483878224357,1914.582126846476,1935.31116362389,5400.860242586003,15575.897743464117,5586.007064766781,16643.28671197418,hard,5.0
30,2,0.002,1.0,1000000,1.0e6,0.0,0.0,0.0001,0.0,0.0001,0.0,300000,5600.0953612054955,6366.225018559762,6331.293943870015,1400.2473341004986,1398.159175887066,5272.486278350977,5362.737630947434,5330.494728177331,5840.198660667977,hard,5.0
30,2,0.002,2.5,1000000,1.0e6,0.0,0.0,0.001,0.0,0.001,0.0,300000,0,0,0,0,0,411.1605353912539,973.8812400198447,840.2033181919845,2297.356196331176,hard,5.0
30,2,0.002,1.0,1000000,1.0e6,5.0e-5,5.0e-5,0.0,0.0,0.0,0.0,300000,10358.025414973483,4650.027028900132,4610.399490743926,2680.9221094754894,2676.401532349603,9521.04172675975,9706.28613386307,9343.136534909161,9564.037439067695,hard,5.0
30,2,0.002,2.2,1000000,1.0e6,0.0001,0.0001,0.0,0.0,0.0,0.0,300000,4354.554571703561,9195.083151851119,4017.239449497137,863.5085341884762,1085.3595792784822,3120.4680640345814,6708.978871142362,2998.896369490421,6415.541414862588,hard,5.0
30,2,0.002,0.7,1000000,1.0e6,0.001,0.001,0.0,0.0,0.0,0.0,300000,0,0,0,0,0,584.3198665650966,446.73095727432263,539.190091750858,415.1481501582396,hard,5.0
