L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,theta_GH_rel,theta_GP_rel,theta_gH_rel,theta_gP_rel
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000102,0.0,0.000102,0.0,200000.0,5490.437494532412,5993.244267374945,5949.467686926104,1185.5347145488029,1174.9057272727273,5172.626533663726,5246.0918116313205,5194.537252917506,5622.672272984051,2.159359964832768,2.2009519402110733,0.07791795575476458,0.08433997840189265
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000108,0.0,0.000108,0.0,200000.0,5240.140339722046,6291.716235893702,6288.638419618529,1124.367857481285,1108.7897872340425,4943.985997824924,5009.459293364862,5121.845174474337,5555.845597202818,2.0758282487279196,2.1132716816911485,0.07682726907330872,0.08333756407484443
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,0.000114,0.0,0.000114,0.0,200000.0,4915.895703234225,6582.808762692742,6525.139290040063,1025.7176747377707,1028.7227617013011,4675.032528218152,4754.9474595470165,4793.288133004829,5237.865703951679,1.974356284768401,2.0147271528571977,0.07189927885414703,0.07856739772214416
30.0,2.0,1.0,1.0,1.0e6,1.0e6,0.0,0.0,0.00012,0.0,0.00012,0.0,200000.0,4723.100828863969,6892.259803444585,6890.451188620421,965.0153424100793,951.3473395055448,4437.561761665362,4505.604702371548,4571.953950368119,5022.41269482769,1.8816973888179247,1.9183409553284054,0.06857913716703899,0.0753360605981775
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,6.0e-6,0.0,6.0e-6,0.0,5477.0,48722.31896551724,1516.948717948718,1447.698275862069,0.0,514.0,27958.65744474655,32684.25115224356,29910.95210803125,35888.21633743845,7.462019227847272,9.504794411467179,0.4486176405976448,0.5382636039042046
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,1.2e-5,0.0,1.2e-5,0.0,24460.0,42701.82025316456,1295.470394736842,1175.5164556962025,2662.6868250539956,2687.8292207792206,38373.497650084195,50714.59858993665,40360.70860873751,53449.02712696001,6.976077334058383,9.226538243866193,0.605283305173261,0.8015497457293325
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,1.8e-5,0.0,1.8e-5,0.0,43739.0,29700.587620242575,1328.340319792567,1252.5605268659838,2135.855950393513,2158.9684912603498,26178.143917819536,31573.092416614283,27517.469003790127,33007.36989799601,5.769216048296052,6.9754379745460025,0.41270026391843434,0.4950381290582236
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,2.4e-5,0.0,2.4e-5,0.0,200000.0,22608.27352995054,1428.676583816109,1358.581315259205,1718.8437310030395,1733.8903201787043,20470.803257267213,23770.68826997487,20632.37451539279,24020.435232133368,5.299289858055164,6.166483155293153,0.3094522288907927,0.360265388610286
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,3.0e-5,0.0,3.0e-5,0.0,200000.0,18203.151342747806,1507.0477175561991,1451.5015069931253,1401.2560467639748,1409.81212621159,16624.952010291727,18703.824598259598,16549.970930769494,18678.74042162768,4.833072729328415,5.46675002697092,0.24822927170917503,0.2801565707171335
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,3.6e-5,0.0,3.6e-5,0.0,200000.0,15265.391498371335,1602.4463357287148,1558.0586319218241,1186.254888784356,1189.8986618205847,14051.075237933783,15573.196420691598,13812.505873383103,15362.334747832203,4.444462761868328,4.96896433394158,0.20717366460237605,0.23041719968922086
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,4.2e-5,0.0,4.2e-5,0.0,200000.0,13142.035398513583,1713.5680615524461,1676.9942659448377,1018.5719507376185,1022.3899681632123,12072.683889097872,13196.710545004596,11683.515819143327,12905.99775624294,4.081394609675219,4.499456954884821,0.17524111506500392,0.1935786617492131
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,4.8e-5,0.0,4.8e-5,0.0,200000.0,11494.781198478124,1803.10576184379,1777.2808814204186,885.6280798571661,888.8474843272786,10658.686917422983,11520.125111342348,10109.85793770268,11032.272775143807,3.784666531837879,4.1247973718026785,0.15163933269551452,0.16547611443388405
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,5.4e-5,0.0,5.4e-5,0.0,200000.0,10276.08291096873,1909.603405542859,1885.4816231551433,788.7062875424393,788.9601111973105,9626.494655360078,10331.86006001576,9158.862164279257,9939.633780740143,3.5456448790574053,3.8363759537690862,0.13737628719644007,0.14908732545638356
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,6.0e-5,0.0,6.0e-5,0.0,200000.0,9358.35366720517,2021.9782132941368,1998.4581583198708,719.1587475149105,714.1419957398001,8815.672223847125,9411.57757906549,8315.916678838035,8997.530755661694,3.341966682616228,3.5944070012341482,0.12473316600745922,0.1349572614923876
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,6.6e-5,0.0,6.6e-5,0.0,200000.0,8431.244905434203,2165.4128041230215,2146.4497868939798,639.3296542824153,640.8852586410785,7884.486908130465,8357.79260628963,7374.083249744082,7954.643517609544,3.068325110424257,3.27375945967251,0.11060703872707583,0.119315309091247
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,7.2e-5,0.0,7.2e-5,0.0,200000.0,7790.11163277714,2242.550309466635,2240.722590015537,585.7038651654537,586.9657879400775,7427.34266453923,7846.197058732702,6914.119189900593,7421.977554114033,2.935943210974024,3.1230233144716997,0.1037078262194571,0.11132544842809866
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,7.8e-5,0.0,7.8e-5,0.0,200000.0,7187.793562942856,2419.0859416445624,2416.050867174281,532.8846623563219,532.103282855404,6839.477047443454,7200.22750265386,6306.9185457635085,6770.174171814647,2.7521848080512297,2.9143751989889357,0.09460053150951828,0.10154909409611068
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,8.4e-5,0.0,8.4e-5,0.0,200000.0,6755.71387219698,2574.902830431742,2564.255239630661,492.97321762549564,490.53874222735226,6400.831234901442,6716.303810295385,5958.811406024783,6365.95588418033,2.6100197367653335,2.7515544051011287,0.08937954562102586,0.09548640219734213
30.0,2.0,3.0,1.0,1.0e6,1.0e6,0.0,0.0,9.0e-5,0.0,9.0e-5,0.0,200000.0,6314.867756486872,2764.38159063695,2761.7954273817327,454.0666692857704,450.9043212297075,5975.182434374922,6247.970982792997,5595.799356884237,5976.71083936702,2.462728085126173,2.5872981536067967,0.08393446127184648,0.08964838017933224
